"utm10","Mmo2003","Mmo_P","Mmo_F","Mmo2015"
"VK28",1,0.194024967942831,0.880150979343181,1
"VK29",0,0.130586061088881,0.820853348248682,1
"VK30",0,0.0237742416263381,0.426250772065299,0
"VK31",0,0.0333373503593347,0.512686129896759,1
"VK32",0,0.0466003043282332,0.598567387297803,1
"VK33",0,0.0759085653523375,0.714765953071437,0
"VK34",0,0.121874681213165,0.808938971876771,0
"VK35",0,0.185633636824954,0.874274262305495,1
"VK36",1,0.227322121262299,0.899748421930834,1
"VK37",1,0.227328093215934,0.899751488682648,1
"VK38",1,0.212561557765346,0.891714331815652,1
"VK39",0,0.177886701419905,0.868435398627501,0
"VK40",0,0.0276199784585168,0.464240968700835,0
"VK41",0,0.032644535083534,0.507258995723041,0
"VK42",0,0.0580439644270601,0.652754416911351,0
"VK43",0,0.0878447223564904,0.746056036105276,0
"VK44",0,0.118209227721045,0.803517871047679,1
"VK45",0,0.153139372287201,0.846542777498958,0
"VK46",1,0.199482948031464,0.883746541474708,1
"VK47",1,0.222045581645899,0.896982856430955,1
"VK48",0,0.245642922810075,0.90854020785983,1
"VK49",0,0.202432943112582,0.885620772798231,1
"VK50",0,0.0376571896266848,0.54415461477789,0
"VK51",0,0.0485616351341713,0.608922557800456,0
"VK52",0,0.06162255102285,0.667034349381082,0
"VK53",0,0.0621929684331061,0.669212245881223,0
"VK54",1,0.0695465688789875,0.695137993257122,1
"VK55",1,0.094068586381596,0.76005610750182,1
"VK56",1,0.155481484885766,0.848859854554848,1
"VK57",0,0.201218963410128,0.884855185588981,1
"VK58",0,0.177769440770132,0.868343735589617,1
"VK59",1,0.167353056706641,0.859775013268024,1
"VK60",0,0.0331613106279071,0.511317759337031,0
"VK61",0,0.0440703840128379,0.584440770791946,0
"VK62",0,0.0428096528568684,0.577053166531236,0
"VK63",0,0.0349174864947318,0.524655169996046,0
"VK64",0,0.0572701060898098,0.649518991223893,0
"VK65",0,0.0949404192161855,0.76190921102074,0
"VK66",0,0.117350362354945,0.802209635232355,1
"VK67",0,0.154880112074727,0.848270396229282,0
"VK68",0,0.197291150151187,0.882323046900859,0
"VK69",0,0.123051347892056,0.810625536443321,0
"VK70",0,0.0180384749756801,0.35913543628294,0
"VK71",0,0.022792771861381,0.415729636445951,0
"VK72",0,0.024742644404617,0.436286610225833,0
"VK73",0,0.0344215386032962,0.520958140410612,0
"VK74",0,0.0703070441137335,0.69761033101743,0
"VK75",0,0.0751647161604198,0.712589263146405,0
"VK76",0,0.0968907462560533,0.765965226643572,0
"VK77",0,0.124966905789748,0.813317739182559,0
"VK78",1,0.154356377671948,0.847753969921235,1
"VK79",0,0.141987390153865,0.834663524964635,0
"VK80",0,0.00966006941026167,0.229326009438611,0
"VK81",0,0.0149094790299989,0.31587161120336,0
"VK82",0,0.0258953783299449,0.447808896136016,0
"VK83",0,0.0419023818789348,0.571584689865445,0
"VK84",0,0.0647469130665197,0.678654530825632,0
"VK85",0,0.0573285587169939,0.649765292540382,0
"VK86",0,0.0461375754357543,0.596050333906828,0
"VK87",0,0.0726763640569653,0.705086869178693,0
"VK88",0,0.107194144735473,0.785531731915136,0
"VK89",0,0.121213209955779,0.807979621955732,0
"VK90",0,0.00889483274935452,0.214936233620156,0
"VK91",0,0.0180640174486598,0.359467162356564,0
"VK92",0,0.0347997358334262,0.523782233805023,0
"VK93",0,0.0448849846120604,0.589088396314922,0
"VK94",1,0.0474234551149627,0.602974179413635,1
"VK95",0,0.0397415358773381,0.558017734582952,0
"VK96",0,0.0366715967425717,0.537314178583045,0
"VK97",0,0.0399063929556408,0.559080791199278,0
"VK98",0,0.0495185999984661,0.61379823988715,0
"VK99",0,0.0754155378356436,0.713326541040474,0
"VL00",0,0.0735108811809373,0.707641686270767,0
"VL01",0,0.0326163432079504,0.5070357619455,0
"VL02",0,0.0401381667909994,0.560567343212215,0
